Name,Formula,CAS No,Amount,Location,Notes
Oxalic Acid Dihydrate,C2H2O4⋅2H2O,6153-56-6,500 g,Chemical Store (V11A),Store code: O1-05
Phosphoric Acid / Orthophosphoric Acid (85%),H3PO4,7664-38-2,2.5 L,Chemical Store (V11A),Store code: O1-13
Piperazine Anhydrous,C4H10N2,110-85-0,,Chemical Store (V11A),Store code: O2-04
"Poly(dimethylsiloxane), vinyl terminated",(C2H6OSi)n,68083-19-2,100 mL,Chemical Store (V11A),Store code: O5-38
Poly(ethylene glycol),PEG,25322-68-3,,Chemical Store (V11A),Store code: O4-20
Poly(ethyleneimine) Solution,(C2H5N)n,9002-98-6,,Chemical Store (V11A),Store code: O2-14
Poly(vinyl alcohol) (PVA),(C2H4O)n,9002-89-5,300 g,Biological Lab,Store code: O5-55
Poly(vinylidene fluoride) (PVDF),(C2H2F2)n,24937-79-9,100 g | 500 g,V11A | Bio Lab,Store code: O5-31
Polyacrylic Acid,(C3H4O2)n,9003-01-4,500 mL,Chemical Store (V11A),Store code: O1-09
Polyethylene Glycol (PEG),H(OCH2CH2)nOH,25322-68-3,500 mL,Chemical Store (V11A),Store code: O5-39
Polyethylene Oxide,(C2H4O)n,25322-68-3,,Chemical Store (V11A),Store code: O4-21
Polystyrene,(C8H8)n,9003-53-6,,Chemical Store (V11A),Store code: O4-22
Polyvinylpyrrolidone (PVP),(C6H9NO)n,9003-39-8,25 g | 500 g,V11A | Bio Lab,Store code: O5-21
Potassium Acetate,CH3COOK,127-08-2,,Chemical Store (V11A),Store code: O4-23
Potassium Bromide,KBr,7758-02-3,,Chemical Store (V11A),Store code: O4-24
Potassium Carbonate,K2CO3,584-08-7,500 g,Biological Lab,Store code: O5-48
Potassium Dichromate,K2Cr2O7,7778-50-9,x1 | 20 g,V11A | Bio Lab,Store code: O3-06
Potassium Ferricyanide,K3Fe(CN)6,13746-66-2,100 g,Biological Lab,Store code: O5-52
Potassium Hexacyanoferrate(II) Trihydrate,K4Fe(CN)6⋅3H2O,14459-95-1,100 g | 500 g,V11A | Bio Lab,Store code: O5-23
Potassium Hydroxide Pellets,KOH,1310-58-3,x1 | 300 g,V11A | Bio Lab,Store code: O2-05
Potassium Iodide,KI,7681-11-0,,Chemical Store (V11A),Store code: O4-25
Potassium Nitrate,KNO3,7757-79-1,500 g | 500 g,V11A | Bio Lab,Store code: O3-15
Potassium Nitrite,KNO2,7758-09-0,,Chemical Store (V11A),Store code: O3-07
Potassium Permanganate,KMnO4,7722-64-7,500 g,Biological Lab,Store code: O3-22
Potassium Peroxide,K2O2,17014-71-0,,Chemical Store (V11A),Store code: O3-08
Potassium Persulfate,K2S2O8,7727-21-1,,Chemical Store (V11A),Store code: O3-09
Potassium Phosphate,K3PO4,7778-53-2,,Chemical Store (V11A),Store code: O5-01
Potassium Phosphate Dibasic Trihydrate,K2HPO4⋅3H2O,16788-57-1,100 g,Cryolab,Store code: O5-58
Potassium Phosphate Monobasic,KH2PO4,7778-77-0,500 g,Biological Lab,Store code: O5-53
Rose Bengal Agar,Mixture,632-69-9,500 g,Chemical Store (V11A),Store code: O5-33
Ruthenium Powder,Ru,7440-18-8,10 g,Chemical Store (V11A),Store code: O5-03
Ruthenium(III) Nitrosyl Nitrate Solution,Mixture,34513-98-9,50 mL,Chemical Store (V11A),Store code: O3-18
Self-Indicating Silica Gel,SiO2,112926-00-8,,Chemical Store (V11A),Store code: O5-04
Silver dispersion / Silver nanoparticles,Ag,7440-22-4,,Chemical Store (V11A),Store code: O5-41
Silver Iodide,AgI,7783-96-2,,Chemical Store (V11A),Store code: O5-43
Silver Nitrate,AgNO3,7761-88-8,25 g,Chemical Store (V11A),Store code: O3-10
Silver Powder,Ag,7440-22-4,20 g,Chemical Store (V11A),Store code: O5-30
Sodium Acetate Trihydrate,CH3COONa⋅3H2O,6131-90-4,,Chemical Store (V11A),Store code: O5-05
Sodium Bicarbonate,NaHCO3,144-55-8,500 g,Cryolab,Store code: O5-57
Sodium Cacodylate,C2H6AsNaO2⋅3H2O,6131-99-3,,Chemical Store (V11A),Store code: Y2-13
Sodium Carbonate (Anhydrous),Na2CO3,497-19-8,500 g,Cryolab,Store code: O5-59
Sodium Chloride,NaCl,7647-14-5,,Chemical Store (V11A),Store code: O5-06
Sodium Citrate Monobasic,NaH2C6H5O7,18996-35-5,,Chemical Store (V11A),Store code: O5-07
Sodium Dodecyl Sulfate (SDS),C12H25NaO4S,151-21-3,x2,Chemical Store (V11A),Store code: O2-08
Sodium Fluoride,NaF,7681-49-4,500 g,Biological Lab,Store code: Y2-27
Sodium Hydroxide Pellets,NaOH,1310-73-2,x1 | 500 g,V11A | Biol Lab,Store code: O2-06
Sodium Hypophosphite Monohydrate,NaH2PO2⋅H2O,10039-56-2,,Chemical Store (V11A),Store code: O5-08
Sodium Iodide,NaI,7681-82-5,,Chemical Store (V11A),Store code: O5-09
Sodium Lauryl Sulphate,C12H25NaO4S,151-21-3,,Chemical Store (V11A),Store code: O2-09
Sodium Molybdate Dihydrate,Na2MoO4⋅2H2O,10102-40-6,100 g,Chemical Store (V11A),Store code: O5-10
Sodium Nano powder,Na,7440-23-5,,Chemical Store (V11A),Store code: Y1-04
Sodium Nitrate,NaNO3,7631-99-4,500 g | 2000 g,V11A | Biol Lab,Store code: O3-11
Sodium Persulfate,Na2S2O8,7775-27-1,,Chemical Store (V11A),Store code: O3-12
Sodium Phosphate Dibasic (Anhydrous),Na2HPO4,7558-79-4,500 g,Biological Lab,Store code: O5-54
Sodium Phosphate Monobasic,NaH2PO4,7558-80-7,500 g,Biological Lab,Store code: O5-49
"Sodium Selenite, Anhydrous",Na2SeO3,10102-18-8,100 g,Chemical Store (V11A),Store code: Y2-21
Sodium Sulfate (Anhydrous),Na2SO4,7757-82-6,x2,Chemical Store (V11A),Store code: O5-11
Sodium Tetraborate Decahydrate,Na2B4O7⋅10H2O,1303-96-4,,Chemical Store (V11A),Store code: O5-12
Sodium Tripolyphosphate,Na5P3O10,7758-29-4,,Chemical Store (V11A),Store code: O5-13
Stannous Chloride Dihydrate,SnCl2⋅2H2O,10025-69-1,,Chemical Store (V11A),Store code: O2-10
Strontium Nitrate,Sr(NO3)2,10042-76-9,,Chemical Store (V11A),Store code: O3-13
Styrene,C8H8,100-42-5,,Chemical Store (V11A),Store code: Y1-10
Tetrabutylammonium Perchlorate,C16H36ClNO4,1923-70-2,100 g,Chemical Store (V11A),Store code: O3-14
Thallium(I) Sulfate,Tl2SO4,7446-18-6,25 g,Chemical Store (V11A),Store code: Y2-14
Thiourea,CH4N2S,62-56-6,250 g | 500 g,V11A | Bio-Lab,Store code: Y2-15
Tin(II) Methanesulfonate Solution,Sn(CH3SO3)2,53408-94-9,,Chemical Store (V11A),Store code: O1-12
Tin(II) Oxide,SnO,21651-19-4,,Chemical Store (V11A),Store code: O5-44
Tin(IV) Chloride,SnCl4,7646-78-8,5 g,Chemical Store (V11A),Store code: O1-06
Tin(IV) Oxide,SnO2,18282-10-5,,Chemical Store (V11A),Store code: O5-14
Titanium (IV) Oxide,TiO2,1317-70-0,,Chemical Store (V11A),Store code: O5-15
Titanium Nitride,TiN,25583-20-4,25 g,Chemical Store (V11A),Store code: O5-16
Titanium(III) Chloride Solution,TiCl3,7705-07-9,25 mL,Chemical Store (V11A),Store code: O1-10
tri-Calcium Phosphate,Ca3(PO4)2,7758-87-4,,Chemical Store (V11A),Store code: O4-11
Tri-n-octylphosphine (TOP),(C8H17)3P,4731-53-7,25 mL,Chemical Store (V11A),Store code: Y1-07
